name,address,lat,lng,type
Migros-Supermarkt - Bern - Marktgasse,"Marktgasse 46, Bern",46.9482562,7.4450371,Migros
Migros-Supermarkt - Bern - Zähringer,"Zähringerstrasse 43, Bern",46.95519240000001,7.433637,Migros
Migros-Supermarkt - Bern - Lorraine,"Dammweg 9, Bern",46.95610660000001,7.446641399999999,Migros
Migros-Supermarkt - Bern - Westside,"Gilberte-de-Courgenay-Platz 4, Bern",46.9449134,7.374808,Migros
Migros-Supermarkt - Worb,"Richigenstrasse 1, Worb",46.9268126,7.5652112,Migros
Migros-Supermarkt - Bern - Breitenrain,"Breitenrainstrasse 11, Bern",46.9581654,7.453915100000001,Migros
Migros-Supermarkt - Bern - Eigerplatz,"Seftigenstrasse 1, Bern",46.94008119999999,7.431858800000001,Migros
Migros-Supermarkt - Bern - Christoffel,"Christoffelunterführung, Bern",46.9477989,7.4401614,Migros
Migros-Supermarkt - Wabern - Chly Wabere,"Seftigenstrasse 368, Wabern bei Bern",46.9224696,7.459706499999999,Migros
Migros-Supermarkt - Bern - Welle 7,"Schanzenstrasse 5, Bern",46.9480435,7.4369451,Migros
Migros-Supermarkt - Belp,"Steinbachstrasse 28, Belp",46.8965219,7.493174,Migros
Migros-Supermarkt - Münsingen,"Bahnhofpl. 5, Münsingen",46.8731962,7.5601532,Migros
Migros-Supermarkt - Köniz - Bläuacker,"Bläuacker 10, Köniz",46.9233047,7.414155,Migros
Migros-Supermarkt - Schönbühl - Shoppyland,"Industriestrasse 10, Urtenen-Schönbühl",47.0168401,7.491994099999999,Migros
Migros-Supermarkt - Ostermundigen,"Bernstrasse 114, Ostermundigen",46.9567813,7.496015499999999,Migros
Migros-Supermarkt - Bern Westflügel,"Bethlehemstrasse 40, Bern",46.94676519999999,7.394885299999999,Migros
Migros-Supermarkt - Ittigen,"Talweg 6, Ittigen",46.9742036,7.485090599999999,Migros
Migros-Supermarkt - Bern - Bachmätteli,"Bottigenstrasse 7, Bern",46.9392952,7.389896799999999,Migros
Migros-Supermarkt - Bern - Bubenberg,"Bubenbergpl. 8, Bern",46.9477011,7.438128799999999,Migros
Migros-Supermarkt - Bern - Winkelried,"Wankdorffeldstrasse 71, Bern",46.96580489999999,7.4635238,Migros
Migros-Supermarkt - Bern - Kirchenfeld,"Thunstrasse 18, Bern",46.9422743,7.4530603,Migros
Migros-Supermarkt - Bern - Bahnhof,"Bahnhofpl. 10, Bern",46.9492666,7.4400441,Migros
Migros-Supermarkt - Gümligen,"Turbenweg 1, Muri bei Bern",46.9332437,7.504227599999999,Migros
Migros-Supermarkt - Bern - Egghölzli,"Egghölzlistrasse 1/1a, Bern",46.9370092,7.475200099999999,Migros
Migros-Supermarkt - Bern - Freudenberg,"Giacomettistrasse 15, Bern",46.9455765,7.4728372,Migros
Migros-Supermarkt,"Riedbachstrasse 10, Bern",46.947532,7.383285,Migros
Migros-Supermarkt - Zollikofen,"Bernstrasse 103, Zollikofen",46.993318,7.4569869,Migros
Migros-Supermarkt - Flamatt,"Bernstrasse 36, Wünnewil-Flamatt",46.8899817,7.319205800000001,Migros
Migros-Supermarkt - Münchenbuchsee,"Bernstrasse 14, Münchenbuchsee",47.0198641,7.451156999999999,Migros
Migros-Supermarkt - Bremgarten Kalchacker,"Kalchackerstrasse 9, Bremgarten bei Bern",46.9754099,7.4376392,Migros
Migros-Supermarkt - Hinterkappelen - Chappelemärit,"Kappelenring 2, Wohlen bei Bern",46.9668009,7.376615800000001,Migros
Migros-Supermarkt - Bern Burgernziel,"Thunstrasse 110, Bern",46.9414209,7.4658915,Migros
Migros-Supermarkt - Ostermundigen Poststrasse,"Poststrasse 1 3072, Ostermundigen",46.9561663,7.4826206,Migros
VOI Bern - Fischermätteli,"Könizstrasse 60, Bern",46.9410667,7.4186194,Migros
VOI Bern - Kramgasse,"Kramgasse 54, Bern",46.9480666,7.4497454,Migros
Migros Take Away,"Schanzenstrasse 5, Bern",46.9477443,7.436055499999999,Migros
VOI Bern - Fellergut,"Mühledorfstrasse 15, Bern",46.94518559999999,7.3903819,Migros
Migros,"Viktoriastrasse 49, Bern",46.9537054,7.454516700000001,Migros
VOI Bern - Viktoriastrasse,"Viktoriastrasse 49, Bern",46.95370130000001,7.4546527,Migros
VOI Bern Warmbächli,"Holligerplatz 1, Bern",46.9466074,7.415721,Migros
Migros,"Holligerplatz 1, Bern",46.9465707,7.415764100000001,Migros
Migros,"Schosshaldenstrasse 16, Bern",46.9453774,7.462897999999999,Migros
VOI Bern - Spiegel,"Chasseralstrasse 156, Bern",46.9263579,7.433877199999999,Migros
migrolino Bern Länggasse,"Länggassstrasse 54, Bern",46.9549499,7.430123799999999,Migros
VOI Wabern,"Seftigenstrasse 259, Köniz",46.9285712,7.452134000000001,Migros
VOI Köniz-Neuhausplatz,"Könizstrasse 251, Liebefeld",46.9287666,7.416682499999999,Migros
migrolino Bern Westside,"Riedbachstrasse 104, Bern",46.943676,7.3710719,Migros
VOI Boll,"Kernstrasse 9, Boll",46.9546925,7.5479454,Migros
migrolino fresh Grauholz,"Grauholz-Süd A1, Autobahn 1, Ittigen",46.9894337,7.4773966,Migros
migrolino Bern Winkelried,"Winkelriedstrasse 10, Bern",46.9656291,7.465682699999999,Migros
Coop Supermarkt Zollikofen,"Märitgasse 1, Zollikofen",46.9970426,7.458732400000001,Migros
Coop Supermarkt Bern Eigerplatz,"Eigerpl. 5A, Bern",46.9410978,7.4314747,Migros
Alnatura Bio Super Markt Bern Bärenplatz,"Bärenpl. 8, Bern",46.9475936,7.443342499999999,Migros
migrolino Bümpliz,"Bümplizstrasse 8, Bern",46.9487624,7.396839,Migros
Coop Supermarkt Worblaufen,"Tiefenaustrasse 2, Ittigen",46.97908650000001,7.4579632,Migros
Coop Supermarkt Gümligen Zentrum Moos,"Turbenweg 1, Muri bei Bern",46.93330479999999,7.503793900000001,Migros
Coop Supermarkt Bern Muesmatt,"Genossenweg 1, Bern",46.95402,7.4284057,Migros
Coop Supermarkt Ittigen,"Talgut-Zentrum 19, Ittigen",46.9740777,7.482282000000001,Migros
Coop Supermarkt Bern Zähringerstrasse,"Zähringerstrasse 63, Bern",46.9563763,7.432051699999999,Migros
Coop Supermarkt Bern Länggasse,"Länggassstrasse 35, Bern",46.9533261,7.432091000000001,Migros
Coop Supermarkt Bern Wankdorf Center,"Papiermühlestrasse 85, Bern",46.96346980000001,7.4652366,Coop
Coop Supermarkt Bern Breitenrain,"Stauffacherstrasse 2, Bern",46.9591583,7.4550707,Coop
Coop Supermarkt Niederwangen,"Freiburgstrasse 553, Niederwangen BE",46.9254305,7.378168800000001,Coop
Coop Supermarkt Gümligen Zentrum Moos,"Turbenweg 1, Muri bei Bern",46.93330479999999,7.503793900000001,Coop
Coop Supermarkt Bern Egghölzli,"Weltpoststrasse 20, Bern",46.937673,7.476713599999999,Coop
Coop Supermarkt Bern Postparc,"Schanzenstrasse 4, Bern",46.9490455,7.4375772,Coop
Coop Supermarkt Ostermundigen Bahnhofstrasse,"Bahnhofstrasse 3, Ostermundigen",46.9557555,7.4836126,Coop
Coop Supermarkt Bern Europaplatz,"Europapl. 1, Bern",46.94367260000001,7.4059889,Coop
Coop Supermarkt Köniz Steinhölzli,"Kirchstrasse 4, Köniz",46.93032609999999,7.428115399999998,Coop
Coop Supermarkt Bern Brunnmatt,"Brunnmattstrasse 20, Bern",46.94536040000001,7.426693500000001,Coop
Coop Supermarkt Bern Bümpliz,"Brünnenstrasse 118, Bern",46.9414676,7.3915886,Coop
Coop Supermarkt Bern Muesmatt,"Genossenweg 1, Bern",46.95402,7.4284057,Coop
Coop Supermarkt Bern Länggasse,"Länggassstrasse 35, Bern",46.9533261,7.432091000000001,Coop
Coop,"Sandstrasse 8, Urtenen-Schönbühl",47.0184974,7.5006232,Coop
Coop Supermarkt Wabern,"Seftigenstrasse 240, Köniz",46.9285612,7.4504741,Coop
Coop Supermarkt Bern Freudenberg,"Giacomettistrasse 15, Bern",46.9454405,7.4727649,Coop
Coop Supermarkt Worb,"Bärenpl. 4, Worb",46.92893979999999,7.5616559,Coop
Coop Supermarkt Worblaufen,"Tiefenaustrasse 2, Ittigen",46.97908650000001,7.4579632,Coop
Coop Supermarkt Bern Sulgenbach,"Eigerstrasse 60, Bern",46.9394781,7.436982200000001,Coop
Coop Supermarkt Köniz Schliern,"Schaufelweg 27, Köniz",46.9098716,7.4149954,Coop
Coop,"Schützenweg 3, Belp",46.8935451,7.4977667,Coop
Coop Supermarkt Münsingen,"Dorfpl. 6, Münsingen",46.8744727,7.563313900000001,Coop
Coop Supermarkt Köniz Stapfenmärit,"Stapfenstrasse 5, Köniz",46.9232059,7.4155663,Coop
Coop Supermarkt Zollikofen,"Märitgasse 1, Zollikofen",46.9970426,7.458732400000001,Coop
Coop Supermarkt Bern Bethlehem,"Kasparstrasse 7, Bern",46.9507116,7.392172800000001,Coop
Coop Supermarkt Rüfenacht,"Worbstrasse 33, Rüfenacht",46.9297067,7.531822900000001,Coop
Coop Supermarkt Bern Schönburg,"Viktoriastrasse 21, Bern",46.9534179,7.4584725,Coop
Coop Supermarkt Bern Eigerplatz,"Eigerpl. 5A, Bern",46.9410978,7.4314747,Coop
Coop Supermarkt Toffen,"Bahnhofstrasse 17, Toffen",46.8603651,7.4936361,Coop
Coop Supermarkt Bolligen,"Dorfmärit 19, Bolligen",46.9739807,7.4964688,Coop
Coop Supermarkt Bern Zähringerstrasse,"Zähringerstrasse 63, Bern",46.9563763,7.432051699999999,Coop
Coop Supermarkt Uettligen,"Säriswilstrasse 2, Wohlen bei Bern",46.9879275,7.3849182,Coop
Coop Supermarkt Kehrsatz,"Bernstrasse 17, Kehrsatz",46.9108325,7.470727300000001,Coop
Coop Supermarkt Bern Christoffel,"Christoffelunterführung, Bern",46.94773319999999,7.4404119,Coop
Coop Supermarkt Münchenbuchsee,"Oberdorfstrasse 39, Münchenbuchsee",47.0199226,7.445050999999999,Coop
Coop Supermarkt Schönbühl Dorf,"Zentrumspl. 12, Urtenen-Schönbühl",47.02041870000001,7.4980361,Coop
Coop Supermarkt Bern Marktgasse,"Marktgasse 24, Bern",46.9480667,7.446038100000001,Coop
Coop Supermarkt Ostermundigen Rütiweg,"Bernstrasse 142, Ostermundigen",46.9594343,7.5002593,Coop
Coop Supermarkt Bern Gäbelbach,"Weiermattstrasse 40, Bern",46.948319,7.3773852,Coop
Coop Supermarkt Ittigen,"Talgut-Zentrum 19, Ittigen",46.9740777,7.482282000000001,Coop
Coop Supermarkt Bern Schauplatzgasse,"Spitalgasse 37, Bern",46.947652,7.4416683,Coop
Coop Supermarkt Muri,"Thunstrasse 68, Muri bei Bern",46.9321409,7.4841902,Coop
Coop Supermarkt Deisswil,"Bernstrasse 1, Stettlen",46.9582269,7.513633500000001,Coop
Coop Supermarkt Bern Spitalgasse,"Spitalgasse 2, Bern",46.94839320000001,7.443368899999999,Coop
Coop Supermarkt Niederscherli,"Schwarzenburgstrasse 802, Niederscherli",46.8854282,7.388318399999999,Coop
Coop Supermarkt Bern Wankdorf TRIO,"Trüsselstrasse 4a, Bern",46.9680238,7.4647521,Coop
Coop,"Bahnhofpl. 10A, Bern",46.9492186,7.4401142,Coop
Coop Supermarkt Flamatt,"Bernstrasse 20, Wünnewil-Flamatt",46.8897045,7.314201199999999,Coop
Coop Supermarkt Bern Hirschengraben,"Hirschengraben 6, Bern",46.9466464,7.4374027,Coop
Migros-Supermarkt - Bremgarten Kalchacker,"Kalchackerstrasse 9, Bremgarten bei Bern",46.9754099,7.4376392,Coop
Coop Supermarkt Bern Hasler,"Belpstrasse 23, Bern",46.9446832,7.433047199999999,Coop
Coop Supermarkt Bern Inselplatz,"Freiburgstrasse 2A, Bern",46.9480104,7.4275696,Coop
Migros-Supermarkt - Bern - Welle 7,"Schanzenstrasse 5, Bern",46.9480435,7.4369451,Coop
Migros-Supermarkt - Köniz - Bläuacker,"Bläuacker 10, Köniz",46.9233047,7.414155,Coop
Coop Pronto Shop mit Tankstelle Bern Standstrasse,"Standstrasse 42, Bern",46.962899,7.452831499999999,Coop
Coop Pronto Shop mit Tankstelle Münchenbuchsee,"Bielstrasse 21, Münchenbuchsee",47.0265042,7.443771099999999,Coop
Coop Pronto Shop mit Tankstelle Bern Morgenstrasse,"Morgenstrasse 89, Bern",46.9378811,7.393292799999998,Coop
Migros-Supermarkt - Gümligen,"Turbenweg 1, Muri bei Bern",46.9332437,7.504227599999999,Coop
Coop Pronto Shop mit Tankstelle Bern Bethlehem,"Eymattstrasse 15, Bern",46.9509715,7.393103399999999,Coop
Migros-Supermarkt - Bern - Breitenrain,"Breitenrainstrasse 11, Bern",46.9581654,7.453915100000001,Coop
Lidl Schweiz,"Bernstrasse 119, Ostermundigen",46.959089,7.4965647,Lidl
Lidl Schweiz,"Schlossstrasse 115b, Bern",46.94380899999999,7.411861999999999,Lidl
Lidl Schweiz,"Spitalgasse 47/51, Bern",46.94748999999999,7.44095,Lidl
Lidl Schweiz,"Unterer Breitenacker 3, Kehrsatz",46.9166,7.46625,Lidl
Lidl Schweiz,"Weiermattstrasse 40, Bern",46.9483262,7.377315400000001,Lidl
Lidl Schweiz,"Freiburgstrasse 170, Bern",46.9432921,7.404992300000001,Lidl
ALDI SUISSE,"Kornhauspl. 7, Bern",46.9484216,7.4478334,Lidl
ALDI SUISSE,"Milchstrasse 2/8, Ostermundigen",46.9632726,7.481859900000001,Lidl
Migros-Supermarkt - Bern - Bahnhof,"Bahnhofpl. 10, Bern",46.9492666,7.4400441,Lidl
Migros-Supermarkt - Bern - Christoffel,"Christoffelunterführung, Bern",46.9477989,7.4401614,Lidl
ALDI SUISSE,"Stapfenstrasse 4, Köniz",46.9226841,7.414845,Lidl
Coop Supermarkt Kehrsatz,"Bernstrasse 17, Kehrsatz",46.9108325,7.470727300000001,Lidl
ALDI SUISSE,"Allmendweg 4, Belp",46.8920537,7.5092951,Lidl
Denner Discount,"Bläuacker 10, Köniz",46.9231107,7.414012199999999,Lidl
Coop Supermarkt Bern Breitenrain,"Stauffacherstrasse 2, Bern",46.9591583,7.4550707,Lidl
Coop Supermarkt Ostermundigen Rütiweg,"Bernstrasse 142, Ostermundigen",46.9594343,7.5002593,Lidl
Migros-Supermarkt - Ostermundigen,"Bernstrasse 114, Ostermundigen",46.9567813,7.496015499999999,Lidl
ALDI Switzerland,"Bernstrasse 46, Worb",46.9264288,7.5637797,Lidl
ALDI SUISSE,"Seftigenstrasse 310, Wabern bei Bern",46.9262226,7.454987200000001,Lidl
ALDI SUISSE,"Eigerstrasse 82, Bern",46.9395682,7.440432800000001,Lidl
ALDI SUISSE,"Spitalgasse 34, Bern",46.9481474,7.441864799999999,Lidl
Denner Discount,"Zentrum 34, Urtenen-Schönbühl",47.0207731,7.5002416,Lidl
Migros-Supermarkt - Wabern - Chly Wabere,"Seftigenstrasse 368, Wabern bei Bern",46.9224696,7.459706499999999,Lidl
Coop Supermarkt Worb,"Bärenpl. 4, Worb",46.92893979999999,7.5616559,Lidl
ALDI SUISSE,"Murtenstrasse 143, Bern",46.9491349,7.4090227,Lidl
ALDI SUISSE,"Bernstrasse 164, Zollikofen",46.9980796,7.4609317,Lidl
Asian Food Market - Bern Europaplatz,"Europapl. 1A, Bern",46.9436334,7.4060711,Lidl
ALDI SUISSE,"Talgut-Zentrum 19, Ittigen",46.97417009999999,7.481685799999998,Lidl
ALIGRO,"Murtenstrasse 121, Bern",46.9493755,7.4119934,Lidl
Denner Discount,"Brunnmattstrasse 22-24, Bern",46.9448056,7.4268942,Denner
Denner Partner,"Sandstrasse 11a, Moosseedorf",47.0152778,7.4841667,Denner
Denner Express,"Bernstrasse 159a, Zollikofen",46.9978738,7.459339,Denner
Denner Partner,"Sensemattstrasse 21, Thörishaus",46.8935156,7.3514238,Denner
Denner Express,"Könizstrasse 13, Bern",46.9438429,7.421048499999999,Denner
Denner Discount,"Bernstrasse 79, Ostermundigen",46.9583913,7.4914051,Denner
Denner Express,"Bärenpl. 8, Bern",46.9475936,7.443342499999999,Denner
Denner Discount,"Fellerstrasse 28, Bern",46.94715950000001,7.3895814,Denner
Denner Discount,"Alte Belpstrasse 1, Rubigen",46.8924657,7.541614399999999,Denner
Denner Discount,"Marktgasse 44, Bern",46.9482181,7.445017,Denner
Denner Discount,"Thunstrasse 11, Münsingen",46.8728211,7.5626927,Denner
Denner Discount,"Fellenbergstrasse 11, Münchenbuchsee",47.01967,7.450468799999999,Denner
Denner Discount,"Seftigenstrasse 45, Bern",46.9364747,7.432719700000001,Denner
Denner Discount,"Riedbachstrasse 8, Bern",46.9481836,7.3830847,Denner
Denner Discount,"Turbenweg 2, Muri bei Bern",46.9328307,7.5040254,Denner
Denner Discount,"Industriestrasse 10, Urtenen-Schönbühl",47.0164042,7.4933251,Denner
Denner Discount,"Scheibenstrasse 29, Bern",46.961284,7.4531212,Denner
Denner Discount,"Seftigenstrasse 368, Wabern bei Bern",46.9224696,7.459706499999999,Denner
Denner Express,"Bernstrasse 114, Ostermundigen",46.95673619999999,7.495969199999999,Denner
Denner Discount,"Bottigenstrasse 7/9, Bern",46.9392952,7.389896799999999,Denner
Denner Discount,"Zentrum 34, Urtenen-Schönbühl",47.0207731,7.5002416,Denner
Denner Discount,"Waldeggstrasse 30, Liebefeld",46.9333865,7.419655399999999,Denner
Denner Discount,"Jupiterstrasse 15, Bern",46.9393666,7.481128999999999,Denner
Denner Express,"Schanzenstrasse 5, Bern",46.9479748,7.4363272,Denner
Denner Discount,"Bahnhofstrasse 7, Belp",46.890701,7.498662999999999,Denner
Denner Discount,"Schwarzenburgstrasse 247, Köniz",46.9247757,7.4167258,Denner
Denner Discount,"Bernstrasse 36, Wünnewil-Flamatt",46.8903326,7.315962,Denner
Denner Discount,"Kalchackerstrasse 9, Bremgarten bei Bern",46.9754307,7.4377931,Denner
Denner Discount,"Kappelenring 2, Wohlen bei Bern",46.9669789,7.376677799999999,Denner
Denner Discount,"Riedbachstrasse 100, Bern",46.94529,7.373668700000001,Denner
Denner Discount,"Bläuacker 10, Köniz",46.9231107,7.414012199999999,Denner
Denner Discount,"Mädergutstrasse 5, Bern",46.93715659999999,7.387004599999999,Denner
Denner Discount,"Einkaufszentrum, Richigenstrasse 1, Worb",46.92679750000001,7.5653461,Denner
Denner Discount,"Schmiedweg 3, Bern",46.9580399,7.444526499999999,Denner
Denner Bibite,"Bahnhofpl. 5, Münsingen",46.87322520000001,7.5602121,Denner
Denner Discount,"Bernstrasse 103, Zollikofen",46.9932771,7.4570555,Denner
Denner Discount,"Steinbachstrasse 28, Belp",46.8967084,7.492940399999999,Denner
Denner Bibite,"Zähringerstrasse 43, Bern",46.9553308,7.4340062,Denner
Denner Discount,"Einkaufszentrum, Talweg 6, Ittigen",46.9742577,7.4847465,Denner
ALDI SUISSE,"Kornhauspl. 7, Bern",46.9484216,7.4478334,Aldi
ALDI SUISSE,"Bernstrasse 164, Zollikofen",46.9980796,7.4609317,Aldi
ALDI SUISSE,"Murtenstrasse 143, Bern",46.9491349,7.4090227,Aldi
ALDI Switzerland,"Bahnhofpl. 1, Münsingen",46.8741442,7.5599252,Aldi
ALDI SUISSE,"Spitalgasse 34, Bern",46.9481474,7.441864799999999,Aldi
ALDI SUISSE,"Eigerstrasse 82, Bern",46.9395682,7.440432800000001,Aldi
ALDI SUISSE,"Talgut-Zentrum 19, Ittigen",46.97417009999999,7.481685799999998,Aldi
ALDI SUISSE,"Milchstrasse 2/8, Ostermundigen",46.9632726,7.481859900000001,Aldi
ALDI Switzerland,"Bernstrasse 46, Worb",46.9264288,7.5637797,Aldi
ALDI SUISSE,"Seftigenstrasse 310, Wabern bei Bern",46.9262226,7.454987200000001,Aldi
ALDI SUISSE,"Stapfenstrasse 4, Köniz",46.9226841,7.414845,Aldi
ALDI SUISSE,"Allmendweg 4, Belp",46.8920537,7.5092951,Aldi
Coop Supermarkt Bern Bümpliz,"Brünnenstrasse 118, Bern",46.9414676,7.3915886,Aldi
Coop Supermarkt Zollikofen,"Märitgasse 1, Zollikofen",46.9970426,7.458732400000001,Aldi
Lidl Schweiz,"Unterer Breitenacker 3, Kehrsatz",46.9166,7.46625,Aldi
Coop Supermarkt Schönbühl Dorf,"Zentrumspl. 12, Urtenen-Schönbühl",47.02041870000001,7.4980361,Aldi
Coop Supermarkt Ittigen,"Talgut-Zentrum 19, Ittigen",46.9740777,7.482282000000001,Aldi
Coop Supermarkt Köniz Schliern,"Schaufelweg 27, Köniz",46.9098716,7.4149954,Aldi
Denner Discount,"Bernstrasse 103, Zollikofen",46.9932771,7.4570555,Aldi
Migros-Supermarkt - Bern - Bahnhof,"Bahnhofpl. 10, Bern",46.9492666,7.4400441,Aldi
Migros-Supermarkt - Ittigen,"Talweg 6, Ittigen",46.9742036,7.485090599999999,Aldi
Coop Supermarkt Worblaufen,"Tiefenaustrasse 2, Ittigen",46.97908650000001,7.4579632,Aldi
Coop,"Sandstrasse 8, Urtenen-Schönbühl",47.0184974,7.5006232,Aldi
Lidl Schweiz,"Spitalgasse 47/51, Bern",46.94748999999999,7.44095,Aldi
Coop Supermarkt Worb,"Bärenpl. 4, Worb",46.92893979999999,7.5616559,Aldi
Lidl Schweiz,"Schlossstrasse 115b, Bern",46.94380899999999,7.411861999999999,Aldi
VOI Bern - Fellergut,"Mühledorfstrasse 15, Bern",46.94518559999999,7.3903819,Aldi
Denner Discount,"Bernstrasse 36, Wünnewil-Flamatt",46.8903326,7.315962,Aldi
Denner Discount,"Bernstrasse 79, Ostermundigen",46.9583913,7.4914051,Aldi
Denner Discount,"Zentrum 34, Urtenen-Schönbühl",47.0207731,7.5002416,Aldi
Denner Discount,"Bläuacker 10, Köniz",46.9231107,7.414012199999999,Aldi
